Date_ms;response_time_ms;rtd_no
242.02;40;3
431.02;30;3
631.02;30;3
672.02;470;5
705.02;304;5
822.02;221;5
831.02;29;3
1032.02;30;3
1039.02;237;5
1199.02;197;5
1232.02;31;3
1422.02;221;5
1432.02;31;3
1608.02;207;5
1633.02;30;3
1803.02;200;5
1832.02;31;3
1993.02;192;5
2032.02;29;3
2188.02;185;5
2231.02;29;3
2388.02;186;5
2431.02;29;3
2591.02;189;5
2630.02;28;3
2797.02;195;5
2832.02;31;3
2997.02;196;5
3033.02;32;3
3196.02;195;5
3233.02;31;3
3396.02;194;5
3431.02;29;3
3594.02;192;5
3661.02;59;3
3815.02;213;5
3831.02;30;3
4011.02;210;5
4030.02;28;3
4204.02;202;5
4229.02;28;3
4432.02;30;3
4657.02;54;3
4790.02;589;5
4823.02;421;5
4831.02;30;3
4857.02;254;5
5028.02;227;5
5032.02;30;3
5189.02;187;5
5228.02;27;3
5384.02;183;5
5428.02;27;3
5585.02;184;5
5632.02;29;3
5826.02;223;5
5834.02;32;3
6020.02;218;5
6029.02;27;3
6210.02;208;5
6231.02;28;3
6403.02;200;5
6431.02;29;3
6595.02;193;5
6629.02;28;3
6753.02;152;5
6829.02;28;3
7035.02;33;3
7048.02;247;5
7191.02;189;5
7229.02;28;3
7417.02;216;5
7430.02;29;3
7616.02;215;5
7631.02;29;3
7815.02;213;5
7828.02;27;3
8000.02;199;5
8028.02;27;3
8199.02;198;5
8230.02;28;3
8432.02;29;3
8653.02;52;3
8781.02;378;5
8827.02;625;5
8829.02;28;3
8879.02;278;5
9032.02;30;3
9035.02;234;5
9224.02;222;5
9232.02;31;3
9431.02;29;3
9437.02;236;5
9624.02;222;5
9630.02;29;3
9833.02;32;3
9848.02;247;5
9997.02;196;5
10028;27;3
10175;174;5
10231;29;3
10380;178;5
10433;31;3
10585;183;5
10633;31;3
10783;181;5
10832;31;3
11034;33;3
11036;235;5
11200;199;5
11230;28;3
11429;227;5
11431;29;3
11621;219;5
11630;28;3
11834;31;3
11869;267;5
11988;185;5
12030;29;3
12208;207;5
12229;28;3
12434;31;3
12630;28;3
12831;30;3
12960;358;5
12973;570;5
12975;774;5
13020;219;5
13031;30;3
13232;31;3
13233;232;5
13399;198;5
13429;28;3
13594;193;5
